timestamp;price;quantity
10073.0;15015.0;4
10082.0;15011.0;6
10104.0;15027.0;4
10148.0;15025.0;8
10168.0;15036.0;30
10173.0;15036.0;11
10209.0;15027.0;6
10214.0;15024.0;14
10276.0;15023.0;2
10318.0;15004.0;34
10369.0;14973.0;12
10381.0;14976.0;2
10384.0;14976.0;2
10510.0;14960.0;28
10576.0;14923.0;12
10749.0;14909.0;2
10781.0;14901.0;3
10824.0;14908.0;5
10859.0;14919.0;3
10894.0;14898.0;3
11009.0;14936.0;23
11105.0;14949.0;11
11161.0;14938.0;5
11174.0;14928.0;6
11207.0;14917.0;7
11228.0;14912.0;2
11263.0;14901.0;36
11280.0;14893.0;14
11315.0;14887.0;2
11356.0;14911.0;7
11359.0;14914.0;2
11392.0;14899.0;4
11409.0;14909.0;4
11437.0;14902.0;4
11444.0;14898.0;6
11451.0;14899.0;5
11516.0;14913.0;12
11676.0;14930.0;2
11709.0;14918.0;2
11722.0;14931.0;5
11859.0;14930.0;4
11870.0;14945.0;2
11874.0;14939.0;14
11978.0;14920.0;40
11996.0;14923.0;5
12003.0;14911.0;3
12042.0;14904.0;3
12043.0;14902.0;32
12072.0;14909.0;3
12107.0;14906.0;33
12137.0;14889.0;3
12183.0;14904.0;3
12191.0;14897.0;4
12241.0;14892.0;4
12283.0;14888.0;4
12313.0;14900.0;5
12344.0;14907.0;8
12405.0;14913.0;25
12425.0;14889.0;3
12440.0;14898.0;13
12465.0;14887.0;3
12509.0;14884.0;5
12513.0;14891.0;6
12540.0;14889.0;27
12576.0;14892.0;23
12618.0;14913.0;7
12713.0;14924.0;33
12732.0;14929.0;13
12740.0;14935.0;35
12746.0;14937.0;8
12750.0;14936.0;14
12807.0;14946.0;28
12844.0;14947.0;2
12963.0;15007.0;20
12980.0;15012.0;4
12985.0;15017.0;4
12991.0;15018.0;3
13054.0;15043.0;5
13073.0;15033.0;3
13355.0;15049.0;3
13415.0;15041.0;10
13430.0;15044.0;13
13447.0;15041.0;35
13451.0;15041.0;2
13510.0;15057.0;4
13523.0;15066.0;32
13525.0;15069.0;4
13574.0;15068.0;10
13605.0;15081.0;3
13618.0;15084.0;22
13728.0;15115.0;5
13747.0;15108.0;2
13874.0;15127.0;14
13880.0;15121.0;3
13881.0;15125.0;20
13914.0;15123.0;4
13916.0;15125.0;10
13932.0;15123.0;2
13936.0;15124.0;23
13970.0;15113.0;2
14034.0;15078.0;11
14066.0;15058.0;20
14073.0;15059.0;15
14075.0;15056.0;5
14113.0;15044.0;15
14138.0;15057.0;5
14165.0;15057.0;2
14182.0;15054.0;37
14192.0;15056.0;7
14194.0;15053.0;29
14355.0;15083.0;14
14395.0;15099.0;5
14402.0;15113.0;4
14409.0;15109.0;3
14442.0;15101.0;2
14483.0;15093.0;5
14512.0;15098.0;14
14545.0;15116.0;15
14554.0;15122.0;32
14574.0;15115.0;15
14580.0;15122.0;15
14688.0;15105.0;12
14737.0;15080.0;20
14750.0;15085.0;3
14784.0;15066.0;9
14790.0;15075.0;4
14822.0;15068.0;3
14850.0;15054.0;2
14859.0;15058.0;5
14901.0;15069.0;8
14979.0;15070.0;40
14985.0;15077.0;10
14992.0;15075.0;7
15066.0;15065.0;6
15167.0;15110.0;5
15173.0;15118.0;22
15226.0;15122.0;3
15232.0;15124.0;15
15284.0;15113.0;2
15300.0;15115.0;3
15316.0;15122.0;4
15318.0;15124.0;2
15380.0;15125.0;21
15394.0;15130.0;2
15414.0;15125.0;10
15463.0;15120.0;4
15633.0;15075.0;5
15657.0;15082.0;5
15680.0;15088.0;2
15756.0;15079.0;3
15777.0;15081.0;15
15793.0;15082.0;3
15800.0;15078.0;3
15870.0;15084.0;24
15906.0;15094.0;13
15982.0;15063.0;11
16007.0;15082.0;27
16059.0;15115.0;7
16209.0;15053.0;5
16252.0;15052.0;9
16286.0;15052.0;3
16298.0;15055.0;5
16393.0;15057.0;7
16405.0;15055.0;4
16475.0;15058.0;4
16549.0;15068.0;3
16554.0;15070.0;2
16563.0;15056.0;4
16590.0;15054.0;10
16592.0;15054.0;13
