day;timestamp;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;30001.0;20999.0;61.0;0.0;0.0;0.0;0.0;21001.0;61.0;0.0;0.0;0.0;0.0;21000.0;0.0
1;30002.0;21002.0;56.0;0.0;0.0;0.0;0.0;21004.0;56.0;0.0;0.0;0.0;0.0;21003.0;0.0
1;30003.0;21008.0;26.0;21007.0;36.0;0.0;0.0;21009.0;62.0;0.0;0.0;0.0;0.0;21008.5;0.0
1;30004.0;21000.0;54.0;0.0;0.0;0.0;0.0;21001.0;16.0;21002.0;38.0;0.0;0.0;21000.5;0.0
1;30005.0;21000.0;15.0;20999.0;46.0;0.0;0.0;21001.0;61.0;0.0;0.0;0.0;0.0;21000.5;0.0
1;30006.0;21003.0;20.0;21002.0;34.0;0.0;0.0;21004.0;54.0;0.0;0.0;0.0;0.0;21003.5;0.0
1;30007.0;21007.0;18.0;21006.0;39.0;0.0;0.0;21008.0;57.0;0.0;0.0;0.0;0.0;21007.5;0.0
1;30008.0;21008.0;73.0;0.0;0.0;0.0;0.0;21010.0;73.0;0.0;0.0;0.0;0.0;21009.0;0.0
1;30009.0;21013.0;22.0;21012.0;45.0;0.0;0.0;21014.0;67.0;0.0;0.0;0.0;0.0;21013.5;0.0
1;30010.0;21014.0;20.0;21013.0;30.0;0.0;0.0;21015.0;50.0;0.0;0.0;0.0;0.0;21014.5;0.0
1;30011.0;21015.0;66.0;0.0;0.0;0.0;0.0;21017.0;66.0;0.0;0.0;0.0;0.0;21016.0;0.0
1;30012.0;21016.0;23.0;21015.0;44.0;0.0;0.0;21017.0;67.0;0.0;0.0;0.0;0.0;21016.5;-5.640625
1;30013.0;21013.0;16.0;21012.0;48.0;0.0;0.0;21014.0;64.0;0.0;0.0;0.0;0.0;21013.5;25.53125
1;30014.0;21010.0;75.0;0.0;0.0;0.0;0.0;21012.0;75.0;0.0;0.0;0.0;0.0;21011.0;47.828125
1;30015.0;21011.0;76.0;0.0;0.0;0.0;0.0;21013.0;76.0;0.0;0.0;0.0;0.0;21012.0;37.96875
1;30016.0;21009.0;78.0;0.0;0.0;0.0;0.0;21010.0;7.0;21011.0;78.0;0.0;0.0;21009.5;53.265625
1;30017.0;21013.0;50.0;0.0;0.0;0.0;0.0;21015.0;50.0;0.0;0.0;0.0;0.0;21014.0;20.015625
1;30018.0;21017.0;59.0;0.0;0.0;0.0;0.0;21018.0;22.0;21019.0;37.0;0.0;0.0;21017.5;-13.765625
1;30019.0;21022.0;64.0;0.0;0.0;0.0;0.0;21024.0;64.0;0.0;0.0;0.0;0.0;21023.0;-60.828125
1;30020.0;21022.0;79.0;0.0;0.0;0.0;0.0;21023.0;29.0;21024.0;50.0;0.0;0.0;21022.5;-60.046875
1;30021.0;21026.0;67.0;0.0;0.0;0.0;0.0;21028.0;67.0;0.0;0.0;0.0;0.0;21027.0;-103.84375
1;30022.0;21023.0;57.0;0.0;0.0;0.0;0.0;21024.0;8.0;21025.0;57.0;0.0;0.0;21023.5;-74.71875
1;30023.0;21021.0;68.0;0.0;0.0;0.0;0.0;21022.0;26.0;21023.0;42.0;0.0;0.0;21021.5;-48.4375
1;30024.0;21021.0;61.0;0.0;0.0;0.0;0.0;21023.0;61.0;0.0;0.0;0.0;0.0;21022.0;-53.90625
1;30025.0;21022.0;52.0;0.0;0.0;0.0;0.0;21024.0;52.0;0.0;0.0;0.0;0.0;21023.0;-65.25
1;30026.0;21017.0;60.0;0.0;0.0;0.0;0.0;21019.0;60.0;0.0;0.0;0.0;0.0;21018.0;0.125
1;30027.0;21012.0;61.0;0.0;0.0;0.0;0.0;21013.0;5.0;21014.0;61.0;0.0;0.0;21012.5;70.8125
1;30028.0;21013.0;49.0;0.0;0.0;0.0;0.0;21015.0;49.0;0.0;0.0;0.0;0.0;21014.0;56.5
1;30029.0;21011.0;57.0;0.0;0.0;0.0;0.0;21012.0;23.0;21013.0;34.0;0.0;0.0;21011.5;108.84375
1;30030.0;21014.0;69.0;0.0;0.0;0.0;0.0;21016.0;69.0;0.0;0.0;0.0;0.0;21015.0;42.1875
1;30031.0;21016.0;16.0;21015.0;44.0;0.0;0.0;21017.0;60.0;0.0;0.0;0.0;0.0;21016.5;20.5625
1;30032.0;21016.0;52.0;0.0;0.0;0.0;0.0;21018.0;52.0;0.0;0.0;0.0;0.0;21017.0;3.75
1;30033.0;21017.0;78.0;0.0;0.0;0.0;0.0;21018.0;29.0;21019.0;49.0;0.0;0.0;21017.5;-7.625
1;30034.0;21020.0;16.0;21019.0;46.0;0.0;0.0;21021.0;62.0;0.0;0.0;0.0;0.0;21020.5;-56.96875
1;30035.0;21019.0;65.0;0.0;0.0;0.0;0.0;21021.0;65.0;0.0;0.0;0.0;0.0;21020.0;-48.3125
1;30036.0;21022.0;76.0;0.0;0.0;0.0;0.0;21024.0;76.0;0.0;0.0;0.0;0.0;21023.0;-108.21875
1;30037.0;21021.0;29.0;21020.0;39.0;0.0;0.0;21022.0;68.0;0.0;0.0;0.0;0.0;21021.5;-73.84375
1;30038.0;21020.0;65.0;0.0;0.0;0.0;0.0;21022.0;65.0;0.0;0.0;0.0;0.0;21021.0;-59.84375
1;30039.0;21018.0;77.0;0.0;0.0;0.0;0.0;21020.0;77.0;0.0;0.0;0.0;0.0;21019.0;-18.03125
1;30040.0;21020.0;66.0;0.0;0.0;0.0;0.0;21021.0;27.0;21022.0;39.0;0.0;0.0;21020.5;-54.375
1;30041.0;21020.0;66.0;0.0;0.0;0.0;0.0;21021.0;16.0;21022.0;50.0;0.0;0.0;21020.5;-56.375
1;30042.0;21017.0;72.0;0.0;0.0;0.0;0.0;21019.0;72.0;0.0;0.0;0.0;0.0;21018.0;-3.375
1;30043.0;21023.0;62.0;0.0;0.0;0.0;0.0;21025.0;62.0;0.0;0.0;0.0;0.0;21024.0;-125.65625
1;30044.0;21022.0;63.0;0.0;0.0;0.0;0.0;21024.0;63.0;0.0;0.0;0.0;0.0;21023.0;-103.15625
1;30045.0;21022.0;16.0;21021.0;35.0;0.0;0.0;21023.0;16.0;21024.0;35.0;0.0;0.0;21022.5;-95.875
1;30046.0;21023.0;65.0;0.0;0.0;0.0;0.0;21024.0;29.0;21025.0;36.0;0.0;0.0;21023.5;-119.75
1;30047.0;21028.0;60.0;0.0;0.0;0.0;0.0;21029.0;23.0;21030.0;37.0;0.0;0.0;21028.5;-226.5
1;30048.0;21028.0;18.0;21027.0;47.0;0.0;0.0;21029.0;65.0;0.0;0.0;0.0;0.0;21028.5;-217.1875
1;30049.0;21030.0;27.0;21029.0;33.0;0.0;0.0;21031.0;60.0;0.0;0.0;0.0;0.0;21030.5;-260.0
